date,time,BAM,TEOM
20121228,1300,32,28
20121228,1359,36,35
20121228,1500,34,16
20121228,1600,22,15
20121228,1659,20,11
20121228,1800,13,17
20121228,1900,25,11
20121228,1959,19,23
20121228,2100,23,32
20121228,2200,20,27
20121228,2259,31,24
20121229,0,29,23
20121229,100,31,23
20121229,159,26,18
20121229,300,22,19
20121229,400,19,16
20121229,459,21,17
20121229,600,18,14
20121229,700,20,15
20121229,759,21,13
20121229,900,23,20
20121229,1000,30,20
20121229,1059,22,21
20121229,1200,26,24
20121229,1300,32,24
20121229,1359,30,24
20121229,1500,36,19
20121229,1600,26,12
20121229,1659,28,18
20121229,1800,24,18
20121229,1900,21,14
20121229,1959,21,15
20121229,2100,16,19
20121229,2200,13,18
20121229,2259,20,15
20121230,0,21,19
20121230,100,24,20
20121230,159,24,15
20121230,300,18,15
20121230,400,17,17
20121230,459,24,17
20121230,600,18,15
20121230,700,22,15
20121230,759,20,14
20121230,900,29,17
20121230,1000,35,20
20121230,1059,33,20
20121230,1200,23,17
20121230,1300,28,23
20121230,1359,36,25
20121230,1500,31,19
20121230,1600,32,18
20121230,1659,22,16
20121230,1800,22,27
20121230,1900,18,18
20121230,1959,21,13
20121230,2100,8,15
20121230,2200,10,11
20121230,2259,14,12
20121231,0,17,13
20121231,100,22,17
20121231,159,20,10
20121231,300,14,10
20121231,400,17,5
20121231,459,19,14
20121231,600,12,11
20121231,700,14,14
20121231,759,18,14
20121231,900,20,17
20121231,1000,27,15
20121231,1059,26,17
20121231,1200,15,22
20121231,1300,33,15
20121231,1359,29,14
20121231,1500,17,15
20121231,1600,19,14
20121231,1659,18,17
20121231,1800,17,14
20121231,1900,21,9
20121231,1959,14,10
20121231,2100,14,19
20121231,2200,17,24
20121231,2259,27,27
20130101,0,36,29
20130101,100,34,28
20130101,159,35,27
20130101,300,38,21
20130101,400,28,15
20130101,459,24,15
20130101,600,24,13
20130101,700,22,9
20130101,759,14,7
20130101,900,20,26
20130101,1000,33,29
20130101,1059,39,33
20130101,1200,37,32
20130101,1300,39,26
20130101,1359,30,23
20130101,1500,26,16
20130101,1600,24,15
20130101,1659,19,16
20130101,1800,15,14
20130101,1900,21,14
20130101,1959,19,15
20130101,2100,17,15
20130101,2200,13,21
20130101,2259,11,14
20130102,0,16,10
20130102,100,23,13
20130102,400,21,11
20130102,459,24,10
20130102,600,19,13
20130102,700,16,18
20130102,759,22,17
20130102,900,23,16
20130102,1000,23,20
20130102,1059,33,22
20130102,1200,27,20
20130102,1300,23,20
20130102,1359,28,23
20130102,1500,29,21
20130102,1600,28,19
20130102,1659,21,14
20130102,1800,25,16
20130102,1900,20,17
20130102,1959,12,18
20130102,2100,15,21
20130102,2200,23,20
20130102,2259,19,8
20130103,0,19,9
20130103,100,16,11
20130103,159,17,14
20130103,300,13,12
20130103,400,15,10
20130103,459,17,13
20130103,600,19,11
20130103,700,17,15
20130103,759,17,19
20130103,900,28,22
20130103,1000,34,24
20130103,1059,39,27
20130103,1200,37,30
20130103,1300,43,32
20130103,1359,48,30
20130103,1500,38,23
20130103,1600,38,16
20130103,1659,25,17
20130103,1800,29,19
20130103,1900,26,19
20130103,1959,24,21
20130103,2100,24,24
20130103,2200,22,20
20130103,2259,26,20
20130104,0,37,23
20130104,100,24,16
20130104,159,21,21
20130104,300,29,15
20130104,400,25,16
20130104,459,21,24
20130104,600,33,16
20130104,700,29,24
20130104,759,30,21
20130104,900,33,20
20130104,1000,40,25
20130104,1059,45,29
20130104,1200,49,31
20130104,1300,42,31
20130104,1359,50,28
20130104,1500,47,23
20130104,1600,40,16
20130104,1659,26,17
20130104,1800,21,20
20130104,1900,25,18
20130104,1959,20,13
20130104,2100,20,12
20130104,2200,17,12
20130104,2259,17,8
20130105,0,20,12
20130105,100,19,7
20130105,159,16,7
20130105,300,20,6
20130105,400,14,8
20130105,459,17,9
20130105,600,9,10
20130105,700,17,9
20130105,759,15,11
20130105,900,15,13
20130105,1000,20,14
20130105,1059,32,15
20130105,1200,27,16
20130105,1300,24,19
20130105,1359,29,17
20130105,1500,28,14
20130105,1600,29,21
20130105,1659,27,13
20130105,1800,22,13
20130105,1900,18,15
20130105,1959,17,11
20130105,2100,15,17
20130105,2200,12,12
20130105,2259,12,19
20130106,0,19,16
20130106,100,20,14
20130106,159,23,13
20130106,300,17,14
20130106,400,16,15
20130106,459,17,19
20130106,600,23,20
20130106,700,28,17
20130106,759,22,18
20130106,900,26,21
20130106,1000,35,20
20130106,1059,31,19
20130106,1200,24,18
20130106,1300,28,18
20130106,1359,22,18
20130106,1500,28,15
20130106,1600,24,13
20130106,1659,19,16
20130106,1800,19,14
20130106,1900,18,13
20130106,1959,14,13
20130106,2100,17,10
20130106,2200,3,9
20130106,2259,9,10
20130107,0,14,9
20130107,100,10,13
20130107,159,8,6
20130107,300,10,8
20130107,400,15,11
20130107,459,18,7
20130107,600,6,7
20130107,700,7,6
20130107,759,9,7
20130107,900,14,10
20130107,1000,20,11
20130107,1059,18,15
20130107,1200,15,17
20130107,1300,26,21
20130107,1359,26,19
20130107,1500,22,14
20130107,1600,24,12
20130107,1659,16,8
20130107,1800,19,9
20130107,1900,15,13
20130107,1959,14,14
20130107,2100,8,10
20130108,600,7,7
20130108,700,10,13
20130108,759,24,10
20130108,900,21,20
20130108,1000,16,12
20130108,1059,7,15
20130108,1200,12,15
20130108,1300,26,18
20130108,1359,27,26
20130108,1500,35,17
20130108,1600,20,16
20130108,1659,21,15
20130108,1800,24,22
20130108,1900,23,20
20130108,1959,15,25
20130108,2100,24,29
20130108,2200,36,28
20130108,2259,27,21
20130109,0,23,21
20130109,100,25,22
20130109,159,27,23
20130109,300,17,14
20130109,400,23,17
20130109,459,21,19
20130109,600,26,18
20130109,700,24,19
20130109,759,28,18
20130109,900,25,23
20130109,1000,34,19
20130109,1059,30,17
20130109,1200,32,18
20130109,1300,29,28
20130109,1359,37,28
20130109,1500,36,16
20130109,1600,35,14
20130109,1659,23,18
20130109,1800,24,25
20130109,1900,30,30
20130109,1959,29,26
20130109,2100,34,32
20130109,2200,24,30
20130109,2259,25,28
20130110,0,32,27
20130110,100,34,24
20130110,159,26,26
20130110,300,33,20
20130110,400,38,17
20130110,459,25,22
20130110,600,26,19
20130110,700,25,24
20130110,759,28,21
20130110,900,33,18
20130110,1000,33,33
20130110,1059,43,31
20130110,1200,36,32
20130110,1300,36,33
20130110,1359,32,27
20130110,1500,35,18
20130110,1600,28,30
20130110,1659,30,26
20130110,1800,32,20
